inv_number,customer_id,InvoiceDate,Stockcodenew,Description,new_quantity,UnitPrice,TotalPrice
536520,14729,43:00.0,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2.95,2.95
536520,14729,43:00.0,22633,HAND WARMER UNION JACK,3,2.1,6.3
536520,14729,43:00.0,22760,"TRAY, BREAKFAST IN BED",1,12.75,12.75
536520,14729,43:00.0,22918,HERB MARKER PARSLEY,2,0.65,1.3
536520,14729,43:00.0,22938,CUPCAKE LACE PAPER SET 6,5,1.95,9.75
536520,14729,43:00.0,84596,SMALL LICORICE DES PINK BOWL,1,1.25,1.25
536520,14729,43:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,3,2.95,8.85
536522,15012,49:00.0,21197,MULTICOLOUR  CONFETTI IN TUBE,1,1.65,1.65
536522,15012,49:00.0,22632,HAND WARMER RED RETROSPOT,1,2.1,2.1
536522,15012,49:00.0,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,5,1.65,8.25
536522,15012,49:00.0,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,4.25,4.25
536522,15012,49:00.0,85035,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,4.25,4.25
536523,12868,50:00.0,21259,VICTORIAN SEWING BOX SMALL,2,5.95,11.9
536525,14078,54:00.0,15044,BLUE PAPER PARASOL,1,2.95,2.95
536526,14001,58:00.0,85099,JUMBO BAG RED RETROSPOT,10,1.95,19.5
536527,12662,04:00.0,POST,POSTAGE,1,18,18
536528,15525,17:00.0,22077,6 RIBBONS RUSTIC CHARM,2,1.65,3.3
536528,15525,17:00.0,22445,PENCIL CASE LIFE IS BEAUTIFUL,4,2.95,11.8
536528,15525,17:00.0,22938,CUPCAKE LACE PAPER SET 6,1,1.95,1.95
536528,15525,17:00.0,22968,ROSE COTTAGE KEEPSAKE BOX,3,9.95,29.85
536529,14237,20:00.0,22627,MINT KITCHEN SCALES,2,8.5,17
536530,17905,21:00.0,21071,VINTAGE BILLBOARD DRINK ME MUG,24,1.25,30
536530,17905,21:00.0,21654,RIDGED GLASS FINGER BOWL,6,1.45,8.7
536530,17905,21:00.0,21662,VINTAGE GLASS COFFEE CADDY,1,5.95,5.95
536530,17905,21:00.0,22120,WELCOME  WOODEN BLOCK LETTERS,1,9.95,9.95
536531,15485,23:00.0,20679,EDWARDIAN PARASOL RED,12,5.95,71.4
536531,15485,23:00.0,22049,WRAP CHRISTMAS SCREEN PRINT,25,0.42,10.5
536531,15485,23:00.0,22194,BLACK DINER WALL CLOCK,2,8.5,17
536531,15485,23:00.0,22688,DOORMAT PEACE ON EARTH BLUE,4,7.95,31.8
536531,15485,23:00.0,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,102
536532,12433,24:00.0,21166,COOK WITH WINE METAL SIGN,12,1.95,23.4
536532,12433,24:00.0,21982,PACK OF 12 SUKI TISSUES,48,0.29,13.92
536532,12433,24:00.0,22095,LADS ONLY TISSUE BOX,12,1.25,15
536532,12433,24:00.0,22614,PACK OF 12 SPACEBOY TISSUES,48,0.29,13.92
536532,12433,24:00.0,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2.95,35.4
536532,12433,24:00.0,22716,CARD CIRCUS PARADE,12,0.42,5.04
536532,12433,24:00.0,22899,CHILDREN'S APRON DOLLY GIRL,8,2.1,16.8
536532,12433,24:00.0,22963,JAM JAR WITH GREEN LID,12,0.85,10.2
536534,15350,33:00.0,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,25.2
536535,15605,38:00.0,22118,JOY WOODEN BLOCK LETTERS,3,4.95,14.85
536535,15605,38:00.0,22311,OFFICE MUG WARMER BLACK+SILVER,6,2.95,17.7
536537,15922,51:00.0,22781,GUMBALL MAGAZINE RACK,2,7.65,15.3
536538,14594,54:00.0,21143,ANTIQUE GLASS HEART DECORATION,3,1.95,5.85
536538,14594,54:00.0,22088,PAPER BUNTING COLOURED LACE,1,2.95,2.95
536538,14594,54:00.0,22195,LARGE HEART MEASURING SPOONS,5,1.65,8.25
536538,14594,54:00.0,22574,HEART WOODEN CHRISTMAS DECORATION,10,0.85,8.5
536538,14594,54:00.0,22600,CHRISTMAS RETROSPOT STAR WOOD,10,0.85,8.5
536539,15165,03:00.0,22969,HOMEMADE JAM SCENTED CANDLES,12,1.45,17.4
536539,15165,03:00.0,72741,GRAND CHOCOLATECANDLE,18,1.45,26.1
536539,15165,03:00.0,85019,ROMANTIC IMAGES NOTEBOOK SET,4,4.25,17
536540,14911,05:00.0,22492,MINI PAINT SET VINTAGE,36,0.65,23.4
536542,16456,11:00.0,20711,JUMBO BAG TOYS,20,1.95,39
536542,16456,11:00.0,20713,JUMBO BAG OWLS,30,1.95,58.5
536542,16456,11:00.0,22383,LUNCH BAG SUKI  DESIGN,20,1.65,33
536542,16456,11:00.0,85123,WHITE HANGING HEART T-LIGHT HOLDER,32,2.95,94.4
536544,NULL,32:00.0,20963,APPLE BATH SPONGE,1,2.51,2.51
536544,NULL,32:00.0,20996,JAZZ HEARTS ADDRESS BOOK,1,0.84,0.84
536544,NULL,32:00.0,21012,ANTIQUE ALL GLASS CANDLESTICK,2,2.51,5.02
536544,NULL,32:00.0,21098,CHRISTMAS TOILET ROLL,23,2.51,57.73
536544,NULL,32:00.0,21165,BEWARE OF THE CAT METAL SIGN,1,4.21,4.21
536544,NULL,32:00.0,21166,COOK WITH WINE METAL SIGN,2,4.21,8.42
536544,NULL,32:00.0,21175,GIN + TONIC DIET METAL SIGN,2,4.21,8.42
536544,NULL,32:00.0,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2.51,10.04
536544,NULL,32:00.0,21238,RED RETROSPOT CUP,4,1.66,6.64
536544,NULL,32:00.0,21658,GLASS  BEURRE DISH,1,8.47,8.47
536544,NULL,32:00.0,21787,RAIN PONCHO RETROSPOT,2,1.66,3.32
536544,NULL,32:00.0,21803,CHRISTMAS TREE STAR DECORATION,11,0.43,4.73
536544,NULL,32:00.0,21822,GLITTER CHRISTMAS TREE WITH BELLS,1,4.21,4.21
536544,NULL,32:00.0,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,4.21,4.21
536544,NULL,32:00.0,22068,BLACK PIRATE TREASURE CHEST,1,3.36,3.36
536544,NULL,32:00.0,22082,RIBBON REEL STRIPES DESIGN,1,3.36,3.36
536544,NULL,32:00.0,22134,LADLE LOVE HEART RED,1,0.85,0.85
536544,NULL,32:00.0,22135,LADLE LOVE HEART PINK,5,0.85,4.25
536544,NULL,32:00.0,22318,FIVE HEART HANGING DECORATION,1,5.91,5.91
536544,NULL,32:00.0,22357,KINGS CHOICE BISCUIT TIN,1,8.47,8.47
536544,NULL,32:00.0,22360,GLASS JAR ENGLISH CONFECTIONERY,2,5.91,11.82
536544,NULL,32:00.0,22396,MAGNETS PACK OF 4 RETRO PHOTO,1,2.51,2.51
536544,NULL,32:00.0,22489,PACK OF 12 TRADITIONAL CRAYONS,1,0.85,0.85
536544,NULL,32:00.0,22548,HEADS AND TAILS SPORTING FUN,1,2.51,2.51
536544,NULL,32:00.0,22560,TRADITIONAL MODELLING CLAY,1,2.51,2.51
536544,NULL,32:00.0,22583,PACK OF 6 HANDBAG GIFT BOXES,1,5.06,5.06
536544,NULL,32:00.0,22632,HAND WARMER RED RETROSPOT,1,4.21,4.21
536544,NULL,32:00.0,22639,SET OF 4 NAPKIN CHARMS HEARTS,1,5.06,5.06
536544,NULL,32:00.0,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,3.36,3.36
536544,NULL,32:00.0,22662,LUNCH BAG DOLLY GIRL DESIGN,2,4.21,8.42
536544,NULL,32:00.0,22759,SET OF 3 NOTEBOOKS IN PARCEL,3,3.36,10.08
536544,NULL,32:00.0,22813,PACK 3 BOXES BIRD PANNETONE,1,4.21,4.21
536544,NULL,32:00.0,22921,HERB MARKER CHIVES,1,1.66,1.66
536544,NULL,32:00.0,22972,CHILDREN'S SPACEBOY MUG,1,3.36,3.36
536544,NULL,32:00.0,22988,SOLDIERS EGG CUP,3,2.51,7.53
536544,NULL,32:00.0,35961,FOLKART ZINC HEART CHRISTMAS DEC,1,1.66,1.66
536544,NULL,32:00.0,35971,ROSE FOLKART HEART DECORATIONS,1,2.51,2.51
536544,NULL,32:00.0,47559,TEA TIME OVEN GLOVE,2,2.51,5.02
536544,NULL,32:00.0,47591,SCOTTIES CHILDRENS APRON,2,1.66,3.32
536544,NULL,32:00.0,47593,SCOTTIE DOGS BABY BIB,2,0.85,1.7
536544,NULL,32:00.0,82551,LAUNDRY 15C METAL SIGN,1,2.51,2.51
536544,NULL,32:00.0,84912,GREEN ROSE WASHBAG,2,3.36,6.72
536544,NULL,32:00.0,84946,ANTIQUE SILVER TEA GLASS ETCHED,30,2.51,75.3
536544,NULL,32:00.0,84992,72 SWEETHEART FAIRY CAKE CASES,1,1.28,1.28
536544,NULL,32:00.0,85015,SET OF 12  VINTAGE POSTCARD SET,1,2.51,2.51
536544,NULL,32:00.0,85039,SET/4 RED MINI ROSE CANDLE IN BOWL,3,1.66,4.98
536544,NULL,32:00.0,85129,BEADED CRYSTAL HEART PINK SMALL,1,2.51,2.51
536544,NULL,32:00.0,85132,CHARLIE + LOLA BISCUITS TINS,2,8.47,16.94
536544,NULL,32:00.0,85199,SMALL HANGING IVORY/RED WOOD BIRD,10,0.85,8.5
536544,NULL,32:00.0,90129,PINK GLASS TASSLE BAG CHARM,2,1.66,3.32
536548,12472,33:00.0,22333,RETROSPOT PARTY BAG + STICKER SET,1,1.65,1.65
536548,12472,33:00.0,22631,CIRCUS PARADE LUNCH BOX,1,1.95,1.95
536551,17346,34:00.0,22555,PLASTERS IN TIN STRONGMAN,1,1.65,1.65
536557,17841,41:00.0,20963,APPLE BATH SPONGE,1,1.25,1.25
536557,17841,41:00.0,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,2.95,2.95
536557,17841,41:00.0,22471,TV DINNER TRAY AIR HOSTESS,1,4.95,4.95
536557,17841,41:00.0,22553,PLASTERS IN TIN SKULLS,1,1.65,1.65
536557,17841,41:00.0,22568,FELTCRAFT CUSHION OWL,1,3.75,3.75
536557,17841,41:00.0,22667,RECIPE BOX RETROSPOT,1,2.95,2.95
536557,17841,41:00.0,22730,ALARM CLOCK BAKELIKE IVORY,1,3.75,3.75
536557,17841,41:00.0,22755,SMALL PURPLE BABUSHKA NOTEBOOK,11,0.85,9.35
536557,17841,41:00.0,22837,HOT WATER BOTTLE BABUSHKA,5,4.65,23.25
536557,17841,41:00.0,84685,BEACH HUT KEY CABINET,1,3.75,3.75
536558,NULL,48:00.0,22802,FAUX FUR CHOCOLATE THROW,5,19.95,99.75
536559,17873,54:00.0,22366,DOORMAT AIRMAIL,10,6.75,67.5
536559,17873,54:00.0,51014,"FEATHER PEN,LIGHT PINK",12,0.85,10.2
536560,13093,00:00.0,22418,10 COLOUR SPACEBOY PEN,96,0.85,81.6
536561,12921,06:00.0,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,1.95,23.4
536562,13468,08:00.0,20685,DOORMAT RED RETROSPOT,2,7.95,15.9
536562,13468,08:00.0,22313,OFFICE MUG WARMER PINK,6,2.95,17.7
536562,13468,08:00.0,37449,CERAMIC CAKE STAND + HANGING CAKES,2,9.95,19.9
536562,13468,08:00.0,79302,"ART LIGHTS,FUNK MONKEY",6,2.95,17.7
536563,17760,08:00.0,22798,ANTIQUE GLASS DRESSING TABLE POT,4,2.95,11.8
536564,13468,08:00.0,37446,MINI CAKE STAND WITH HANGING CAKES,8,1.45,11.6
536565,NULL,15:00.0,21369,MIRRORED WALL ART SPLODGES,1,3.75,3.75
536569,16274,35:00.0,21018,BIRD BOX CHRISTMAS TREE DECORATION,2,0.85,1.7
536569,16274,35:00.0,21587,COSY HOUR GIANT TUBE MATCHES,3,2.55,7.65
536569,16274,35:00.0,21871,SAVE THE PLANET MUG,1,1.25,1.25
536569,16274,35:00.0,22573,STAR WOODEN CHRISTMAS DECORATION,1,0.85,0.85
536569,16274,35:00.0,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,3,0.85,2.55
536569,16274,35:00.0,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,1.65,1.65
536569,16274,35:00.0,22750,FELTCRAFT PRINCESS LOLA DOLL,1,3.75,3.75
536569,16274,35:00.0,84870,GREEN GEISHA GIRL,1,3.75,3.75
536569,16274,35:00.0,85232,SET OF 3 BABUSHKA STACKING TINS,1,4.95,4.95
536570,14496,35:00.0,21781,MA CAMPAGNE CUTLERY BOX,2,14.95,29.9
536571,14696,37:00.0,21790,VINTAGE SNAP CARDS,12,0.85,10.2
536571,14696,37:00.0,22065,CHRISTMAS PUDDING TRINKET POT,12,1.45,17.4
536571,14696,37:00.0,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,12,1.25,15
536571,14696,37:00.0,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,5.95,11.9
536571,14696,37:00.0,85032,YULETIDE IMAGES GIFT WRAP SET,6,2.1,12.6
536571,14696,37:00.0,85045,GREEN CHRISTMAS TREE STRING 20LIGHT,4,4.95,19.8
536571,14696,37:00.0,85099,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,19.5
536574,17025,46:00.0,21756,BATH BUILDING BLOCK WORD,3,5.95,17.85
536575,13777,01:00.0,21232,STRAWBERRY CERAMIC TRINKET BOX,144,1.25,180
536576,13777,11:00.0,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,72,1.69,121.68
536578,17690,15:00.0,22726,ALARM CLOCK BAKELIKE GREEN,4,3.75,15
536578,17690,15:00.0,22837,HOT WATER BOTTLE BABUSHKA,12,4.65,55.8
536580,17690,17:00.0,22966,GINGERBREAD MAN COOKIE CUTTER,12,1.25,15
536582,12947,21:00.0,21479,WHITE SKULL HOT WATER BOTTLE,8,3.75,30
536582,12947,21:00.0,84032,CHARLIE+LOLA PINK HOT WATER BOTTLE,6,2.95,17.7
536583,13777,21:00.0,21156,RETROSPOT CHILDRENS APRON,120,1.65,198
536587,14142,33:00.0,21982,PACK OF 12 SUKI TISSUES,24,0.29,6.96
536587,14142,33:00.0,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,1.49,17.88
536588,17069,49:00.0,22960,JAM MAKING SET WITH JARS,6,4.25,25.5
536588,17069,49:00.0,84997,BLUE 3 PIECE POLKADOT CUTLERY SET,12,3.75,45
536591,14606,57:00.0,21850,BLUE  DIAMANTE PEN IN GIFT BOX,1,4.95,4.95
536591,14606,58:00.0,22121,NOEL WOODEN BLOCK LETTERS,2,5.95,11.9
536591,14606,57:00.0,22135,LADLE LOVE HEART PINK,1,0.42,0.42
536591,14606,57:00.0,22378,WALL TIDY RETROSPOT,1,2.1,2.1
536591,14606,58:00.0,85064,CREAM SWEETHEART LETTER RACK,2,5.45,10.9
536592,NULL,06:00.0,20681,PINK POLKADOT CHILDRENS UMBRELLA,1,6.77,6.77
536592,NULL,06:00.0,20699,MOUSEY LONG LEGS SOFT TOY,2,5.06,10.12
536592,NULL,06:00.0,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2,2.51,5.02
536592,NULL,06:00.0,20961,STRAWBERRY BATH SPONGE,1,2.51,2.51
536592,NULL,06:00.0,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3,3.75,11.25
536592,NULL,06:00.0,21012,ANTIQUE ALL GLASS CANDLESTICK,6,2.51,15.06
536592,NULL,06:00.0,21486,PINK HEART DOTS HOT WATER BOTTLE,7,4.21,29.47
536592,NULL,06:00.0,21524,DOORMAT SPOTTY HOME SWEET HOME,1,14.43,14.43
536592,NULL,06:00.0,21576,LETS GO SHOPPING COTTON TOTE BAG,1,5.06,5.06
536592,NULL,06:00.0,21705,BAG 500g SWIRLY MARBLES,2,3.36,6.72
536592,NULL,06:00.0,21773,DECORATIVE ROSE BATHROOM BOTTLE,3,2.51,7.53
536592,NULL,06:00.0,21774,DECORATIVE CATS BATHROOM BOTTLE,5,2.51,12.55
536592,NULL,06:00.0,21801,CHRISTMAS TREE DECORATION WITH BELL,10,0.43,4.3
536592,NULL,06:00.0,21821,GLITTER STAR GARLAND WITH BELLS,1,7.62,7.62
536592,NULL,06:00.0,21889,WOODEN BOX OF DOMINOES,2,2.51,5.02
536592,NULL,06:00.0,21892,TRADITIONAL WOODEN CATCH CUP GAME,1,2.51,2.51
536592,NULL,06:00.0,21914,BLUE HARMONICA IN BOX,2,2.51,5.02
536592,NULL,06:00.0,21934,SKULL SHOULDER BAG,1,3.36,3.36
536592,NULL,06:00.0,21982,PACK OF 12 SUKI TISSUES,2,0.85,1.7
536592,NULL,06:00.0,22100,SKULLS SQUARE TISSUE BOX,1,2.51,2.51
536592,NULL,06:00.0,22149,FELTCRAFT 6 FLOWER FRIENDS,2,4.21,8.42
536592,NULL,06:00.0,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,16.98,16.98
536592,NULL,06:00.0,22190,LOCAL CAFE MUG,3,2.51,7.53
536592,NULL,06:00.0,22195,LARGE HEART MEASURING SPOONS,4,3.36,13.44
536592,NULL,06:00.0,22262,FELT EGG COSY CHICKEN,3,1.66,4.98
536592,NULL,06:00.0,22371,AIRLINE BAG VINTAGE TOKYO 78,3,8.47,25.41
536592,NULL,06:00.0,22419,LIPSTICK PEN RED,7,0.85,5.95
536592,NULL,06:00.0,22422,TOOTHPASTE TUBE PEN,2,1.28,2.56
536592,NULL,06:00.0,22451,SILK PURSE BABUSHKA RED,1,6.77,6.77
536592,NULL,06:00.0,22469,HEART OF WICKER SMALL,11,3.36,36.96
536592,NULL,06:00.0,22487,WHITE WOOD GARDEN PLANT LADDER,1,20.38,20.38
